Intensity,Wavelength (angstrom),Spectrum,Reference
200,5852.4879,Ne I,SS04
100,5881.8952,Ne I,SS04
50,5944.8342,Ne I,SS04
60,5975.534,Ne I,SS04
100,6029.9969,Ne I,SS04
100,6074.3377,Ne I,SS04
30,6096.1631,Ne I,SS04
100,6143.0626,Ne I,SS04
100,6163.5939,Ne I,SS04
100,6217.2812,Ne I,SS04
100,6266.495,Ne I,SS04
10,6304.7889,Ne I,SS04
30,6328.1646,Ne I,SS04
100,6334.4278,Ne I,SS04
100,6382.9917,Ne I,SS04
200,6402.248,Ne I,SS04
150,6506.5281,Ne I,SS04
10,6532.8822,Ne I,SS04
100,6598.9529,Ne I,SS04
50,6678.2762,Ne I,SS04
1000,6929.4673,Ne I,SS04
300,7024.0504,Ne I,SS04
800,7032.4131,Ne I,SS04
100,7059.1074,Ne I,SS04
800,7173.9381,Ne I,SS04
800,7245.1666,Ne I,SS04
150,7343.945,Ne II,P71
30,7472.4386,Ne I,SS04
300,7488.8712,Ne I,SS04
100,7492.102,Ne II,P71
150,7522.818,Ne II,P71
300,7535.7741,Ne I,SS04
130,7544.0443,Ne I,SS04
1,7724.6233,Ne I,SS04
120,7740.738,Ne II,P71
